12,48,5,6,34,18,2,5,27,9,19,3,28,34,7,1,11,20,18,23,25,11,8,12,20,8,21,11,16,15,10,16,19,15,14,7,8,19,33,13,21,13,12,41,41,15,7,23,29,31,
31,4,4,15,18,8,20,19,22,8,14,22,6,23,32,30,13,32,5,3,10,17,12,19,16,17,18,22,2,18,12,20,5,8,3,30,33,31,10,9,33,21,31,41,13,20,3,22,46,48,
22,30,27,8,45,14,29,26,3,34,38,2,24,9,11,2,14,6,21,14,4,22,3,21,6,25,9,19,1,18,6,13,6,32,10,13,33,30,12,7,39,6,35,25,38,21,42,4,44,41,
12,2,34,5,31,1,3,21,15,35,1,17,33,35,3,10,24,16,11,24,6,13,3,12,14,23,13,24,17,24,8,26,7,14,12,15,28,27,13,25,22,37,26,35,9,15,8,34,32,28,
37,36,1,31,14,35,13,28,34,8,39,13,32,9,10,17,13,11,22,4,9,21,22,22,4,20,18,20,5,5,17,3,22,6,18,29,11,24,19,24,10,31,41,22,13,26,20,5,21,1,
12,21,22,38,18,20,36,10,16,23,30,36,21,26,10,10,29,9,29,9,22,4,26,22,16,18,10,10,1,14,18,12,2,26,12,31,32,36,21,14,11,3,32,7,15,38,25,44,11,44,
13,43,13,37,17,19,32,21,8,28,2,2,16,26,16,33,33,15,15,19,16,12,19,22,16,8,8,7,16,23,28,9,4,27,9,30,9,18,27,2,37,34,8,40,34,43,9,3,41,46,
45,26,25,6,34,14,12,22,10,2,15,33,25,17,28,32,17,31,22,6,20,24,2,9,18,16,13,15,12,2,8,11,24,16,1,5,23,6,25,38,8,27,16,10,43,6,24,1,4,31,
44,21,18,11,25,3,5,9,26,9,6,37,8,7,7,17,2,16,29,7,3,29,26,18,26,5,14,8,11,27,19,3,4,6,12,29,14,31,23,3,25,6,12,29,12,19,28,22,35,16,
4,7,20,32,29,22,16,2,36,9,34,7,7,35,16,19,31,2,1,29,17,22,28,1,6,11,8,6,28,18,11,3,31,21,30,32,21,2,35,7,33,26,30,9,19,4,36,23,30,30,
23,35,45,37,1,12,9,13,6,36,24,21,26,4,18,6,6,4,7,7,8,22,5,30,17,19,23,23,18,12,25,8,6,29,18,9,5,13,11,18,6,27,41,5,40,37,8,3,41,6,
25,2,16,15,32,36,8,7,26,33,28,33,7,5,13,10,1,21,16,1,1,32,23,17,13,20,3,23,3,20,25,16,31,2,20,6,12,31,5,10,15,33,13,28,26,36,42,26,4,7,
15,25,29,37,45,4,37,39,35,22,39,15,10,36,9,29,3,27,5,13,17,2,5,3,8,10,30,18,33,3,10,3,16,14,26,23,8,16,33,20,26,22,38,14,26,7,31,16,28,39,
35,24,18,42,30,35,11,18,19,3,34,20,32,6,9,1,28,10,3,17,25,34,32,17,1,26,31,19,11,17,21,25,9,22,25,7,2,28,30,22,23,24,25,40,26,41,24,24,6,28,
19,13,7,15,33,44,29,41,20,40,3,22,6,18,19,28,28,6,6,27,25,3,33,31,34,31,31,22,19,19,8,31,6,32,34,33,32,25,30,33,14,40,27,12,3,16,8,46,30,40,
27,15,16,35,13,20,43,1,22,40,33,8,1,15,12,12,23,27,14,14,21,34,9,27,4,28,33,35,13,8,14,36,36,30,6,18,13,27,11,18,34,9,10,27,34,29,35,33,33,42,
39,1,40,16,37,33,7,13,38,7,26,9,17,18,17,14,21,12,8,9,25,29,32,28,18,30,1,13,21,31,10,28,13,2,1,2,1,37,19,34,31,30,25,6,11,37,30,22,3,46,
2,16,27,33,24,15,21,39,11,6,5,14,25,1,11,10,36,7,30,34,15,25,14,29,24,12,7,11,19,29,26,14,27,16,33,2,20,9,29,33,34,2,2,7,4,8,10,1,8,41,
47,6,45,33,44,25,8,21,24,9,6,34,10,26,26,37,16,24,8,14,3,21,5,6,5,18,14,32,28,34,15,1,5,15,32,32,7,10,28,22,11,40,20,40,8,9,16,28,24,1,
30,35,41,30,30,9,12,22,12,25,36,19,11,39,5,29,2,4,31,22,19,26,21,2,19,2,33,16,5,15,39,35,38,32,33,3,1,19,34,10,24,11,22,34,19,5,40,24,18,19,
2,11,44,5,6,4,32,40,16,34,28,5,4,40,10,40,34,23,15,39,37,30,17,32,27,16,22,32,38,14,34,6,5,33,27,4,5,7,27,31,2,22,1,17,14,23,29,29,35,3,
20,9,5,21,8,35,19,25,32,41,2,26,13,9,19,24,38,33,6,2,31,9,1,25,6,36,29,29,18,38,2,38,29,4,38,35,38,34,41,4,33,36,5,28,43,5,26,2,11,34,
6,31,27,37,41,41,10,18,41,7,1,33,39,8,23,22,17,32,20,24,1,23,28,33,39,42,36,32,1,27,7,11,2,18,34,41,28,42,34,23,40,23,23,37,35,32,27,7,8,32,
9,47,42,24,10,44,10,31,41,33,26,6,9,20,26,27,38,12,21,12,36,42,2,28,9,23,24,9,15,32,1,42,17,19,38,18,5,11,21,32,8,37,9,12,17,24,11,19,36,1,
30,23,39,12,44,3,18,40,5,41,28,32,7,43,19,33,13,32,43,15,30,26,31,12,45,24,17,8,23,25,10,33,30,4,1,6,35,6,40,14,45,14,42,33,14,7,24,17,40,21,
19,46,43,3,37,30,8,5,1,7,7,23,2,16,29,14,5,1,45,34,6,34,9,29,24,37,28,41,46,22,21,6,27,31,43,19,10,7,19,2,33,6,38,18,16,45,30,30,40,28,
14,8,11,46,13,24,28,33,17,19,28,24,4,2,26,26,12,35,1,14,11,6,3,9,34,13,20,42,33,33,42,37,15,24,24,16,40,38,12,12,16,5,7,13,46,14,26,30,38,13,
2,30,33,32,17,36,34,21,17,7,17,46,10,46,28,44,39,10,16,10,3,20,10,1,41,30,41,27,14,4,47,4,15,23,34,11,47,24,4,36,2,37,14,1,40,48,1,4,32,0,
-108
